Type,Timestamp/ms,X,Y,Z
1,27524,0.05996704,-0.12390137,9.663116
1,27591,0.08151245,-0.12867737,9.665512
9,27592,0.06701558,-0.13003148,9.805558
1,27657,0.05279541,-0.131073,9.670303
1,27724,0.06236267,-0.13346863,9.665512
1,27792,0.05279541,-0.12390137,9.672699
9,27792,0.06315789,-0.13045809,9.805579
1,27858,0.07673645,-0.12867737,9.663116
1,27926,0.07673645,-0.12390137,9.665512
9,27992,0.066806495,-0.1314958,9.80554
1,27993,0.06954956,-0.13825989,9.663116
1,28059,0.06715393,-0.13825989,9.658325
1,28126,0.05279541,-0.126297,9.660721
1,28193,0.0647583,-0.11431885,9.665512
9,28195,0.065405846,-0.13039169,9.805565
1,28259,0.05996704,-0.131073,9.667908
1,28325,0.08151245,-0.12390137,9.660721
1,28394,0.07911682,-0.13586426,9.663116
9,28394,0.06896655,-0.13099438,9.805532
1,28460,0.05996704,-0.12390137,9.665512
1,28527,0.05757141,-0.12390137,9.665512
1,28594,0.0647583,-0.12150574,9.663116
9,28594,0.06703171,-0.12896131,9.8055725
1,28661,0.06236267,-0.13346863,9.665512
1,28728,0.07911682,-0.13586426,9.672699
1,28796,0.05996704,-0.131073,9.670303
9,28800,0.06649135,-0.1315481,9.805543
1,28862,0.05039978,-0.12390137,9.667908
1,28929,0.16531372,-0.10473633,9.699036
1,28996,0.6321869,-0.77511597,9.691849
9,28997,0.35593787,-0.22120325,9.797691
1,29062,-0.06213379,0.27114868,9.833099
1,29129,1.7766113,-0.8086395,9.3901825
1,29195,0.69921875,-2.6833038,11.918457
9,29196,1.7400534,-0.77260417,9.620067
1,29263,3.7254944,-0.9546814,11.568909
1,29330,2.7702026,-2.0775604,9.926483
1,29398,1.4198761,-0.93792725,9.485947
9,29398,2.3859699,0.4904407,9.499316
1,29463,1.2187653,0.99897766,9.579315
1,29531,0.6345825,2.4762115,12.138718
1,29598,5.9544983,-0.664978,14.006195
9,29599,2.8104858,4.1085587,8.449337
1,29664,2.5714874,1.228836,8.322357
1,29790,6.142044,4.28862,-3.454712
1,29850,2.7837677,4.6277924,-8.490524
1,29910,2.855606,5.234329,-5.9191437
9,29911,1.2843598,9.681302,-0.8906226
1,29970,4.5427094,5.648529,-5.7116547
